TICKER SYMBOL,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,ENTERPRISE VALUE,FREE CASH_FLOW,TOTAL LIABILITIES
EVRI,14.11,-39.6,-0.96,20.00,-2.8065201984408223, 14.73 , 2.14 Bil ,$-40.3 Mil ,"$1,485.1 Mil "
EVT,26.27,undefined,-1.6,N/A,undefined,Not Found!, 2.38 Bil ,$120.77 Mil ,$474.79 Mil 
EVTC,37.22,35.661565789473684,1.43,8.73,0.958129118470545, 13.62 , 3.08 Bil ,$150.4 Mil ,$730.2 Mil 
EVV,12.63,undefined,-0.07,,undefined,Not Found!, 2.23 Bil ,$240.50 Mil ,$669.79 Mil 
EVX,133.5297,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EVY,14.45,undefined,0.741,,undefined,Not Found!, 121.60 Mil ,$4.05 Mil ,$43.99 Mil 
EW,83.64,40.43513157894738,1.3,12.99,0.4834425105086965, 49.48 , 51.44 Bil ,$647 Mil ,"$2,663 Mil "
EWA,24.79,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWC,34.05,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWCO,37.1942,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWD,44.56,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWG,33.44,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWGS,77.405,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWH,26.58,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWI,31.51,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWJ,68.52,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWK,20.36,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWL,44.21,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWM,27.1,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWMC,89.1045,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWN,46.15,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWO,21.9425,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWP,27.39,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWQ,34.83,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWRE,32.491,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWS,23.42,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWSC,80.42,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWT,59.96,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWU,31.31,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWUS,45.59,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWV,13.935,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWW,43.83,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWX,55.39,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWY,89.7,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EWZ,33.45,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EXD,10.75,undefined,None,,undefined,Not Found!, 105.78 Mil ,$0.00 Mil ,$2.23 Mil 
EXG,9.3,undefined,None,N/A,undefined,Not Found!, 2.83 Bil ,$0.00 Mil ,$17.40 Mil 
EXI,115.93,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EXK,4.96,undefined,0.008,N/A,undefined, 26.89 , 772.50 Mil ,$13.4 Mil ,$51.5 Mil 
EXN,2.77,undefined,None,,undefined, -10.35 , 92.45 Mil ,$-14.12 Mil ,$20.29 Mil 
EXP,134.41,198.21710526315795,8.3,8.00,1.474719926070664, 19.13 , 6.59 Bil ,$527 Mil ,"$1,464 Mil "
EXPR,4.02,441.5079842105263,-6.274,-57.12,109.82785676878764, -3.45 , 1.32 Bil ,$-340 Mil ,"$1,449 Mil "
EXR,132.55,77.86118421052633,3.71,6.00,0.5874099148285653, 26.28 , 24.39 Bil ,$764 Mil ,"$6,460 Mil "
EXTN,3.36,undefined,-3.096,N/A,undefined, 6.07 , 676.51 Mil ,$-113.2 Mil ,"$1,007.7 Mil "
EYLD,37.8704,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EZA,49.38,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EZJ,47.5487,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EZM,50.93,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
EZU,46.43,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
F,12.25,-16.852463157894736,-0.322,27.66,-1.3757112781954886, 20.16 , 161.58 Bil ,"$18,527 Mil ","$236,450 Mil "
FAF,56.65,48.145263157894746,6.16,-3.10,0.8498722534491571, 6.02 , 6.82 Bil ,$971 Mil ,"$7,874 Mil "
FAII,9.97,undefined,None,,undefined,Not Found!, 433.66 Mil ,$ Mil ,$0.10 Mil 
FAM,9.94,undefined,0.39,N/A,undefined,Not Found!, 151.90 Mil ,$19.87 Mil ,$55.44 Mil 
FAN,22.56,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FAS,90.87,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FAUG,35.9441,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FAX,4.09,undefined,0.103,,undefined,Not Found!, 1.44 Bil ,$193.97 Mil ,$494.81 Mil 
FAZ,34.75,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FBC,45.1,144.67894736842106,9.52,2.00,3.2079589216944804,Not Found!, 7.52 Bil ,"$-8,083 Mil ","$28,837 Mil "
FBCG,29.23,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FBCV,26.73,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FBGX,561.9124,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FBHS,95.82,101.2217105263158,3.94,9.25,1.056373518329324, 16.09 , 15.74 Bil ,$675 Mil ,"$4,583 Mil "
FBK,44.46,undefined,1.67,N/A,undefined,Not Found!, 1.22 Bil ,$-275.2 Mil ,"$9,915.9 Mil "
FBND,52.41,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FBP,11.26,15.213434210526316,0.459,14.40,1.351104281574273,Not Found!, 1.72 Bil ,$281.7 Mil ,"$16,517.9 Mil "
FBT,160.5,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FC,28.29,-23.94526315789474,-0.704,15.00,-0.8464214619262899, 27.38 , 412.48 Mil ,$23.8 Mil ,$137.6 Mil 
FCF,14.37,17.911184210526315,0.75,8.00,1.2464289638501265,Not Found!, 1.39 Bil ,$98.1 Mil ,"$7,999.5 Mil "
FCG,12.81,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FCN,140.11,134.34169736842108,5.67,7.87,0.9588301860568201, 15.41 , 5.06 Bil ,$292 Mil ,"$1,377 Mil "
FCO,8.33,undefined,-0.447,,undefined,Not Found!, 90.77 Mil ,$14.83 Mil ,$24.10 Mil 
FCOM,49.32,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FCOR,54.2,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FCPI,27.51,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FCPT,27.4,undefined,1.08,N/A,undefined, 21.29 , 2.91 Bil ,$91.5 Mil ,$823.7 Mil 
FCT,12.1624,undefined,0.123,N/A,undefined,Not Found!, 441.08 Mil ,$68.16 Mil ,$159.26 Mil 
FCTR,32.91,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FCX,32.93,28.822460526315787,0.41,40.07,0.875264516438378, 16.33 , 64.07 Bil ,"$1,056 Mil ","$23,476 Mil "
FDD,14.12,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FDEC,31.8767,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FDEM,27.5714,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FDEU,12.64,undefined,None,,undefined,Not Found!, 289.72 Mil ,$28.42 Mil ,$85.08 Mil 
FDEV,27.8359,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FDG,73.93,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FDHY,55.14,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FDIS,76.34,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FDL,32.72,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FDLO,43.86,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FDM,60.13,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FDMO,44.91,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FDN,218.08,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FDP,28.63,48.45065789473685,1.03,24.00,1.6923038035185767, 12.29 , 2.06 Bil ,$31 Mil ,"$1,594 Mil "
FDRR,40.19,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FDS,308.59,210.70789473684212,10.04,6.00,0.6828085639095309, 21.14 , 12.30 Bil ,$486 Mil ,"$1,183 Mil "
FDVV,35.54,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FDX,284.04,623.1556013157893,11.357,29.41,2.1939008636663475, 12.88 , 104.95 Bil ,"$3,846 Mil ","$60,812 Mil "
FE,34.69,18.808118421052633,1.99,-1.97,0.5421769507365994, 12.49 , 41.41 Bil ,"$-1,234 Mil ","$37,227 Mil "
FEBZ,26.064,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FEDU,1.57,undefined,-0.527,N/A,undefined, -4.13 , 23.78 Mil ,$0.00 Mil ,$58.59 Mil 
FEDX,28.6854,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FEI,6.86,undefined,None,,undefined,Not Found!, 372.40 Mil ,$170.70 Mil ,$80.87 Mil 
FEN,13.39,undefined,-5.603,N/A,undefined,Not Found!, 317.10 Mil ,$120.74 Mil ,$63.27 Mil 
FENG,1.77,15.867572368421053,0.795,5.29,8.964730151650313, 24.89 ," -201,483,000.00 ",$0.0 Mil ,$301.9 Mil 
FENY,13.25,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FEO,14.51,undefined,1.792,,undefined,Not Found!, 78.12 Mil ,$8.76 Mil ,$6.71 Mil 
FET,18.54,-3535.4055000000003,-17.373,132.10,-190.6906957928803, -11.25 , 320.37 Mil ,$1.6 Mil ,$483.7 Mil 
FEUL,86.9914,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FEVR,25.0503,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FEZ,44.51,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FF,14.53,28.382894736842108,1.06,10.00,1.9533995001267797, 8.6 , 370.49 Mil ,$91.9 Mil ,$69.4 Mil 
FFA,18.7,undefined,2.503,N/A,undefined,Not Found!, 368.66 Mil ,$0.00 Mil ,$0.83 Mil 
FFC,23.43,undefined,1.6,N/A,undefined,Not Found!, 1.50 Bil ,$59.80 Mil ,$451.04 Mil 
FFEB,34.47,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FFG,55.92,96.59447368421053,2.94,14.20,1.7273689857691439, 18.3 , 1.45 Bil ,$218.1 Mil ,"$9,304.2 Mil "
FFHG,33.86,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FFIU,25.7962,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FFR,46.54,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FFSG,34.165,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FFTG,28.6345,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FFTI,23.89,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FFTY,43.88,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FGB,3.99,undefined,None,N/A,undefined,Not Found!, 62.57 Mil ,$24.74 Mil ,$7.82 Mil 
FGD,25.14,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FGNA,10.19,undefined,None,,undefined,Not Found!, 308.15 Mil ,$ Mil ,$0.02 Mil 
FGRO,19.02,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FHI,31.3,undefined,None,0.31,undefined, 5.98 , 2.86 Bil ,$360 Mil ,$924 Mil 
FHLC,58.96,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FHN,16.91,49.23947368421052,1.89,9.50,2.911855333188085,Not Found!, 4.61 Bil ,$114 Mil ,"$75,902 Mil "
FI,3.55,59.407815789473695,-0.691,-67.90,16.734595997034845, -172.13 , 684.80 Mil ,$11.2 Mil ,$155.7 Mil 
FIBR,99.6402,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FICO,486.05,318.1755789473685,8.98,15.98,0.6546149139952031, 41.22 , 15.44 Bil ,$364 Mil ,"$1,253 Mil "
FIDI,20.25,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FIDU,52.08,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FIEE,168.209,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FIF,12.3175,undefined,None,N/A,undefined,Not Found!, 244.09 Mil ,$85.46 Mil ,$60.24 Mil 
FIGB,49.545,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FIHD,207.0017,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FILL,15.7,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FINS,17.42,undefined,None,,undefined,Not Found!, 296.40 Mil ,$ Mil ,$111.20 Mil 
FINV,7.01,undefined,None,-1.37,undefined, 7.19 , 1.26 Bil ,$324.1 Mil ,$986.6 Mil 
FIS,140.61,8.130592105263158,0.25,13.97,0.05782371172223282, 25.04 , 108.15 Bil ,"$3,313 Mil ","$34,529 Mil "
FISK,11.15,undefined,0.393,,undefined, 18.97 , 4.76 Bil ,$39.2 Mil ,"$2,419.4 Mil "
FISR,30.6907,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FITE,48.1094,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FIV,9.3972,undefined,None,,undefined,Not Found!, 478.46 Mil ,$43.31 Mil ,$166.84 Mil 
FIVA,23.5,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FIVG,35.21,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FIW,78.19,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FIX,74.77,109.51513157894736,4.09,10.00,1.4646934810612193, 11.69 , 3.03 Bil ,$262 Mil ,"$1,061 Mil "
FJAN,31.3648,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FJNK,25.37,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FJUL,33.9887,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FJUN,34.9649,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FL,56.25,89.78200000000001,3.08,11.64,1.5961244444444447, 10.8 , 7.38 Bil ,$903 Mil ,"$4,267 Mil "
FLAU,29.165,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLAX,28.8195,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLBL,24.83,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLBR,20.7397,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLC,24.39,undefined,1.736,N/A,undefined,Not Found!, 353.60 Mil ,$13.92 Mil ,$108.38 Mil 
FLCA,30.3108,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLCB,25.18,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLCH,32.18,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLCO,25.51,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLDR,50.71,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLEE,27.3,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLEH,25.8898,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLFR,28.5,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLGB,23.89,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLGE,558.1087,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLGR,25.9756,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLGV,23.88,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLHK,28.3378,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLHY,26.26,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLIA,25.09,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLIN,27.987,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLIY,26.51,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLJH,30.8725,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLJP,30.41,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLKR,31.84,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLLA,22.5148,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLLV,43.7562,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLM,55.43,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLMB,26.87,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLMI,26.305,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLMX,22.3586,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLNG,8.93,undefined,0.15,,undefined, 18.21 , 1.77 Bil ,$89.3 Mil ,"$1,468.8 Mil "
FLO,23.8,15.162385526315791,0.719,6.07,0.6370750221141088, 15.97 , 6.08 Bil ,$357 Mil ,"$1,950 Mil "
FLOT,50.75808,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLOW,63.33,6.487105263157897,0.135,24.70,0.10243336906928623, 22.16 , 2.72 Bil ,$90 Mil ,"$1,038 Mil "
FLQD,33.2785,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLQE,30.8379,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLQG,37.7295,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLQH,26.75,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLQL,40.06,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLQM,40.9048,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLQS,36.6246,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLR,23.09,-8.110705263157893,-3.096,-6.69,-0.3512648446582024, -101.67 , 2.98 Bil ,$72 Mil ,"$6,047 Mil "
FLRG,22.7868,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLRN,30.628359,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLRT,48.855,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLRU,27.0581,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLS,38.81,20.649171052631583,0.89,7.53,0.5320580018714657, 17.39 , 6.01 Bil ,$253 Mil ,"$3,552 Mil "
FLSA,30.5536,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLSP,19.67,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLSW,30.18,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLT,268.63,241.39905263157894,8.12,12.04,0.8986302819178013, 21.08 , 26.71 Bil ,"$1,394 Mil ","$7,839 Mil "
FLTB,52.2731,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLTR,25.364,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLTW,41.7,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLUD,24.925,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLV,57.9508,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLY,16.85,-77.69603947368421,-2.21,15.79,-4.611040918319537, 14.59 , 2.35 Bil ,$17.9 Mil ,"$2,378.6 Mil "
FLYT,46.9249,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FLZA,26.29,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FM,29.49,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FMAC,10,undefined,None,,undefined,Not Found!, 515.43 Mil ,$ Mil ,$0.02 Mil 
FMAG,20.03,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FMAR,30.06,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FMAT,44.25,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FMAY,35.22,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FMC,110.61,106.96414473684212,4.223,9.00,0.9670386469292299, 16.66 , 17.39 Bil ,$581 Mil ,"$7,202 Mil "
FMF,47.345,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FMIL,27.6,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FMN,14.53,undefined,0.755,N/A,undefined,Not Found!, 168.30 Mil ,$6.97 Mil ,$114.42 Mil 
FMO,9.87,undefined,-28.735,N/A,undefined,Not Found!, 72.53 Mil ,$182.66 Mil ,$26.93 Mil 
FMS,36.88,45.66186842105263,2.33,5.04,1.2381200764927502, 7.43 , 35.85 Bil ,"$3,627 Mil ","$23,550 Mil "
FMX,75.33,-5.49421052631579,-0.26,6.10,-0.0729352253592963, 18.6 , 33.85 Bil ,$0 Mil ,"$18,917 Mil "
FMY,13.365,undefined,0.256,,undefined,Not Found!, 55.23 Mil ,$0.00 Mil ,$0.45 Mil 
FN,90.39,83.87462368421053,3.319,8.96,0.9279192796129055, 18.02 , 2.94 Bil ,$88 Mil ,$461 Mil 
FNB,12.7,22.75986842105263,0.85,10.00,1.7921156237049316,Not Found!, 5.30 Bil ,$72 Mil ,"$32,395 Mil "
FNCL,48.95,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FND,95.48,90.44084210526317,1.84,25.46,0.9472228959495514, 36.71 , 11.28 Bil ,$194 Mil ,"$1,883 Mil "
FNDA,50.66,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FNDB,51.28,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FNDC,37.46,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FNDE,30.75,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FNDF,32.1,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FNDX,51.67,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FNF,40.66,119.96339473684212,4.993,8.10,2.9504032153674897, 5.85 , 12.69 Bil ,"$1,468 Mil ","$42,063 Mil "
FNGD,3.7,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FNGO,38.01,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FNGS,28.3835,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FNGU,28.09,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FNGZ,3.7106,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FNI,61.42,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FNOV,36.5459,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FNV,125.29,40.02075000000001,1.71,7.67,0.3194249341527656, 40.3 , 24.42 Bil ,$491 Mil ,$149 Mil 
FOCT,32.795,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FOE,16.86,17.953302631578946,0.519,15.40,1.0648459449335081, 19.16 , 2.05 Bil ,$-45.0 Mil ,"$1,520.0 Mil "
FOF,13.41,undefined,None,N/A,undefined,Not Found!, 364.26 Mil ,$0.00 Mil ,$3.05 Mil 
FOR,23.28,24.587894736842113,1.37,3.90,1.056181045396998, 17.58 , 1.59 Bil ,$-315.6 Mil ,$915.1 Mil 
FOUR,82.01,undefined,None,N/A,undefined, 688.91 , 7.30 Bil ,$-5.6 Mil ,"$1,109.3 Mil "
FOVL,53.38,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FPE,20.15,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FPEI,20.26,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FPF,23.8225,undefined,None,N/A,undefined,Not Found!, 1.95 Bil ,$145.87 Mil ,$643.84 Mil 
FPH,7.56,undefined,-0.006,N/A,undefined, -100.59 , 2.73 Bil ,$-80.6 Mil ,"$1,076.9 Mil "
FPI,11.21,undefined,-0.18,N/A,undefined, 29.84 , 989.46 Mil ,$19.73 Mil ,$645.31 Mil 
FPL,5.2925,undefined,None,,undefined,Not Found!, 161.37 Mil ,$74.39 Mil ,$36.21 Mil 
FPRO,20.9889,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FPX,119.15,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FQAL,45.37,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FR,45.79,40.967763157894744,1.53,10.00,0.8946879920920451, 20.03 , 7.60 Bil ,$241.1 Mil ,"$1,844.6 Mil "
FRA,13,undefined,0.137,N/A,undefined,Not Found!, 665.91 Mil ,$45.59 Mil ,$239.17 Mil 
FRAK,108.6676,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FRC,166.75,163.89551315789475,5.81,10.99,0.9828816381283044,Not Found!, 39.24 Bil ,$383 Mil ,"$130,751 Mil "
FRD,8.09,undefined,-0.287,N/A,undefined, -33.35 , 41.95 Mil ,$-4.5 Mil ,$10.0 Mil 
FRDM,33.59,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FREL,27.49,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FRI,25.2,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FRLG,241.6316,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
FRO,7.15,40.8375,2.09,5.00,5.711538461538461, 7.17 , 3.48 Bil ,$-120 Mil ,"$2,307 Mil "
